plu,campaign,clasificacion,TIPO_PRENDA,color_comercial,codigo_color,TALLA_EDAD,grupo_articulo,dda,fac,precio,upe,color
990571,2,Moda,CAMISETA,Azul,Gris Jaspe,6 to 16 years,CAMISETA,5.0,5,31990.0,8.411136344520145e-05,Blue
990572,2,Moda,CAMISETA,Azul,Azul 19-4125,6 to 16 years,CAMISETA,59.0,59,31990.0,8.556155936667043e-05,Blue
990573,2,Moda,CAMISETA,Azul,Gris Jaspe,6 to 16 years,CAMISETA,17.0,17,31990.0,8.936832366052654e-05,Blue
990604,2,Moda,PANTALON LARGO,Mostaza,Café 17-1129,6 to 16 years,PANTALON LARGO,2.0,2,85990.0,8.411136344520145e-05,Yellow
990605,2,Moda,PANTALON LARGO,Mostaza,Gris 19-4007,6 to 16 years,PANTALON LARGO,9.0,9,85990.0,8.411136344520145e-05,Yellow
990606,2,Moda,PANTALON LARGO,Mostaza,Café 17-1129,6 to 16 years,PANTALON LARGO,4.0,4,85990.0,8.411136344520145e-05,Yellow
990607,2,Moda,PANTALON LARGO,Mostaza,Gris 19-4007,6 to 16 years,PANTALON LARGO,5.0,5,85990.0,8.411136344520145e-05,Yellow
990608,2,Moda,PANTALON LARGO,Mostaza,Café 17-1129,6 to 16 years,PANTALON LARGO,5.0,5,85990.0,8.411136344520145e-05,Yellow
990609,2,Moda,PANTALON LARGO,Mostaza,Gris 19-4007,6 to 16 years,PANTALON LARGO,8.0,8,85990.0,8.411136344520145e-05,Yellow
990610,2,Moda,PANTALON LARGO,Mostaza,Café 17-1129,6 to 16 years,PANTALON LARGO,4.0,4,85990.0,8.411136344520145e-05,Yellow
990611,2,Moda,PANTALON LARGO,Mostaza,Gris 19-4007,6 to 16 years,PANTALON LARGO,5.0,5,85990.0,8.411136344520145e-05,Yellow
990614,2,Moda,PANTALON LARGO,Mostaza,Café 17-1129,6 to 16 years,PANTALON LARGO,3.0,3,85990.0,8.411136344520145e-05,Yellow
990615,2,Moda,PANTALON LARGO,Mostaza,Gris 19-4007,6 to 16 years,PANTALON LARGO,7.0,7,85990.0,8.411136344520145e-05,Yellow
990616,2,Moda,PANTALON LARGO,Mostaza,Café 17-1129,6 to 16 years,PANTALON LARGO,5.0,5,85990.0,7.00928028710012e-05,Yellow
990617,2,Moda,PANTALON LARGO,Mostaza,Gris 19-4007,6 to 16 years,PANTALON LARGO,5.0,5,85990.0,7.00928028710012e-05,Yellow
990868,1,Moda,CAMISETA POLO,Gris Jaspe,Gris Jaspe,2 to 5 years,CAMISETA,3.0,3,45990.0,7.932101213611486e-05,Gray
990869,1,Moda,CAMISETA POLO,Gris Jaspe,Verde 12-0225,2 to 5 years,CAMISETA,11.0,9,45990.0,7.932101213611486e-05,Gray
990871,1,Moda,CAMISETA POLO,Gris Jaspe,Gris Jaspe,2 to 5 years,CAMISETA,8.0,8,45990.0,7.932101213611486e-05,Gray
990872,1,Moda,CAMISETA POLO,Gris Jaspe,Verde 12-0225,2 to 5 years,CAMISETA,14.0,14,45990.0,8.542262845427755e-05,Gray
990874,1,Moda,CAMISETA POLO,Gris Jaspe,Gris Jaspe,2 to 5 years,CAMISETA,17.0,17,45990.0,7.932101213611486e-05,Gray
990875,1,Moda,CAMISETA POLO,Gris Jaspe,Verde 12-0225,2 to 5 years,CAMISETA,19.0,19,45990.0,7.932101213611486e-05,Gray
990877,1,Moda,CAMISETA POLO,Gris Jaspe,Gris Jaspe,2 to 5 years,CAMISETA,13.0,13,45990.0,7.932101213611486e-05,Gray
990878,1,Moda,CAMISETA POLO,Gris Jaspe,Verde 12-0225,2 to 5 years,CAMISETA,20.0,20,45990.0,7.932101213611486e-05,Gray
990880,1,Moda,CAMISETA POLO,Gris Jaspe,Gris Jaspe,2 to 5 years,CAMISETA,14.0,14,45990.0,7.932101213611486e-05,Gray
990881,1,Moda,CAMISETA POLO,Gris Jaspe,Verde 12-0225,2 to 5 years,CAMISETA,27.0,27,45990.0,7.932101213611486e-05,Gray
990917,2,Moda,CAMISETA,Amarillo,Blanco 10-0000,6 to 16 years,CAMISETA,53.0,53,33990.0,8.411136344520145e-05,Yellow
990918,2,Moda,CAMISETA,Amarillo,Gris Jaspe,6 to 16 years,CAMISETA,43.0,43,33990.0,8.21997415487196e-05,Yellow
990919,2,Moda,CAMISETA,Amarillo,Turquesa 14-4812,6 to 16 years,CAMISETA,48.0,48,33990.0,8.411136344520145e-05,Yellow
990920,2,Moda,CAMISETA,Amarillo,Amarillo 12-0727,6 to 16 years,CAMISETA,99.0,60,33990.0,8.584561836159742e-05,Yellow
990921,2,Moda,CAMISETA,Amarillo,Blanco 10-0000,6 to 16 years,CAMISETA,59.0,59,33990.0,8.270950738778142e-05,Yellow
990922,2,Moda,CAMISETA,Amarillo,Gris Jaspe,6 to 16 years,CAMISETA,56.0,56,33990.0,8.121097160226346e-05,Yellow
990923,2,Moda,CAMISETA,Amarillo,Turquesa 14-4812,6 to 16 years,CAMISETA,45.0,45,33990.0,8.60229853416833e-05,Yellow
990924,2,Moda,CAMISETA,Amarillo,Amarillo 12-0727,6 to 16 years,CAMISETA,99.0,81,33990.0,8.411136344520151e-05,Yellow
990925,2,Moda,CAMISETA,Amarillo,Blanco 10-0000,6 to 16 years,CAMISETA,75.0,75,33990.0,8.192665270636505e-05,Yellow
990926,2,Moda,CAMISETA,Amarillo,Gris Jaspe,6 to 16 years,CAMISETA,71.0,71,33990.0,8.411136344520145e-05,Yellow
990927,2,Moda,CAMISETA,Amarillo,Turquesa 14-4812,6 to 16 years,CAMISETA,59.0,59,33990.0,8.13536138240473e-05,Yellow
990928,2,Moda,CAMISETA,Amarillo,Amarillo 12-0727,6 to 16 years,CAMISETA,98.0,48,33990.0,8.586368351697653e-05,Yellow
990929,2,Moda,CAMISETA,Amarillo,Blanco 10-0000,6 to 16 years,CAMISETA,143.0,143,33990.0,8.591374980474175e-05,Yellow
990930,2,Moda,CAMISETA,Amarillo,Gris Jaspe,6 to 16 years,CAMISETA,123.0,123,33990.0,8.550163391537029e-05,Yellow
990931,2,Moda,CAMISETA,Amarillo,Turquesa 14-4812,6 to 16 years,CAMISETA,104.0,104,33990.0,8.411136344520154e-05,Yellow
990932,2,Moda,CAMISETA,Amarillo,Amarillo 12-0727,6 to 16 years,CAMISETA,124.0,118,33990.0,7.397027707237592e-05,Yellow
990937,2,Moda,CAMISETA,Amarillo,Blanco 10-0000,6 to 16 years,CAMISETA,33.0,33,33990.0,8.163749981446022e-05,Yellow
990938,2,Moda,CAMISETA,Amarillo,Gris Jaspe,6 to 16 years,CAMISETA,42.0,42,33990.0,8.411136344520145e-05,Yellow
990939,2,Moda,CAMISETA,Amarillo,Turquesa 14-4812,6 to 16 years,CAMISETA,38.0,38,33990.0,8.6384643538315e-05,Yellow
990940,2,Moda,CAMISETA,Amarillo,Amarillo 12-0727,6 to 16 years,CAMISETA,70.0,23,33990.0,8.411136344520145e-05,Yellow
990941,2,Moda,CAMISETA,Amarillo,Blanco 10-0000,6 to 16 years,CAMISETA,40.0,40,33990.0,8.010606042400138e-05,Yellow
990942,2,Moda,CAMISETA,Amarillo,Gris Jaspe,6 to 16 years,CAMISETA,45.0,45,33990.0,8.228285554421881e-05,Yellow
990943,2,Moda,CAMISETA,Amarillo,Turquesa 14-4812,6 to 16 years,CAMISETA,47.0,47,33990.0,7.906468163848936e-05,Yellow
990944,2,Moda,CAMISETA,Amarillo,Amarillo 12-0727,6 to 16 years,CAMISETA,108.0,58,33990.0,8.411136344520157e-05,Yellow
991053,2,Moda,SET,Blanco,Blanco 10-0000,0 to 24 months,SET,53.0,2,45990.0,8.411136344520145e-05,White
991054,2,Moda,SET,Blanco,Turquesa 13-4910,0 to 24 months,SET,36.0,17,45990.0,8.18380833520879e-05,White
991055,2,Moda,SET,Blanco,Blanco 10-0000,0 to 24 months,SET,38.0,38,45990.0,8.195466181840141e-05,White
991056,2,Moda,SET,Blanco,Turquesa 13-4910,0 to 24 months,SET,22.0,22,45990.0,8.411136344520145e-05,White
991057,2,Moda,SET,Blanco,Blanco 10-0000,0 to 24 months,SET,57.0,57,45990.0,8.411136344520145e-05,White
991058,2,Moda,SET,Blanco,Turquesa 13-4910,0 to 24 months,SET,20.0,20,45990.0,8.411136344520145e-05,White
991059,2,Moda,SET,Blanco,Blanco 10-0000,0 to 24 months,SET,89.0,28,45990.0,8.411136344520145e-05,White
991060,2,Moda,SET,Blanco,Turquesa 13-4910,0 to 24 months,SET,48.0,45,45990.0,8.411136344520145e-05,White
991061,2,Moda,SET,Blanco,Blanco 10-0000,0 to 24 months,SET,71.0,40,45990.0,8.411136344520145e-05,White
991062,2,Moda,SET,Blanco,Turquesa 13-4910,0 to 24 months,SET,41.0,39,45990.0,8.411136344520145e-05,White
991131,2,Moda,CAMISETA,Azul,Azul 19-4044,6 to 16 years,CAMISETA,194.0,157,31990.0,8.36800231198419e-05,Blue
991132,2,Moda,CAMISETA,Azul,Blanco 10-0000,6 to 16 years,CAMISETA,109.0,109,31990.0,8.334671468660884e-05,Blue
991133,2,Moda,CAMISETA,Azul,Naranja 15-1239,6 to 16 years,CAMISETA,63.0,63,31990.0,8.411136344520145e-05,Blue
991134,2,Moda,CAMISETA,Azul,Azul 19-4044,6 to 16 years,CAMISETA,187.0,187,31990.0,8.278328928554079e-05,Blue
991135,2,Moda,CAMISETA,Azul,Blanco 10-0000,6 to 16 years,CAMISETA,106.0,106,31990.0,8.255374560362376e-05,Blue
991136,2,Moda,CAMISETA,Azul,Naranja 15-1239,6 to 16 years,CAMISETA,48.0,48,31990.0,8.239480500754428e-05,Blue
991137,2,Moda,CAMISETA,Azul,Azul 19-4044,6 to 16 years,CAMISETA,137.0,137,31990.0,8.535745771846395e-05,Blue
991138,2,Moda,CAMISETA,Azul,Blanco 10-0000,6 to 16 years,CAMISETA,65.0,65,31990.0,8.283694884754688e-05,Blue
991139,2,Moda,CAMISETA,Azul,Naranja 15-1239,6 to 16 years,CAMISETA,32.0,32,31990.0,7.916363618371901e-05,Blue
991140,2,Moda,CAMISETA,Azul,Azul 19-4044,6 to 16 years,CAMISETA,106.0,106,31990.0,8.57288896653016e-05,Blue
991141,2,Moda,CAMISETA,Azul,Blanco 10-0000,6 to 16 years,CAMISETA,77.0,77,31990.0,8.521809191158568e-05,Blue
991142,2,Moda,CAMISETA,Azul,Naranja 15-1239,6 to 16 years,CAMISETA,35.0,35,31990.0,8.177493668283474e-05,Blue
991146,2,Moda,CAMISETA,Azul,Azul 19-4044,6 to 16 years,CAMISETA,125.0,125,31990.0,8.344381294166834e-05,Blue
991147,2,Moda,CAMISETA,Azul,Blanco 10-0000,6 to 16 years,CAMISETA,88.0,88,31990.0,8.507816072618078e-05,Blue
991148,2,Moda,CAMISETA,Azul,Naranja 15-1239,6 to 16 years,CAMISETA,43.0,43,31990.0,8.611401495580149e-05,Blue
991149,2,Moda,CAMISETA,Azul,Azul 19-4044,6 to 16 years,CAMISETA,206.0,190,31990.0,8.620368591896308e-05,Blue
991150,2,Moda,CAMISETA,Azul,Blanco 10-0000,6 to 16 years,CAMISETA,117.0,117,31990.0,8.48364614059361e-05,Blue
991151,2,Moda,CAMISETA,Azul,Naranja 15-1239,6 to 16 years,CAMISETA,68.0,68,31990.0,8.289235817787968e-05,Blue
991167,2,Moda,CAMISA,Blanco,Blanco 10-0000,2 to 5 years,CAMISA,14.0,14,65990.0,9.058146832560156e-05,White
991169,2,Moda,CAMISA,Blanco,Blanco 10-0000,2 to 5 years,CAMISA,20.0,20,65990.0,8.411136344520145e-05,White
991171,2,Moda,CAMISA,Blanco,Blanco 10-0000,2 to 5 years,CAMISA,26.0,26,65990.0,8.099612776204584e-05,White
991173,2,Moda,CAMISA,Blanco,Blanco 10-0000,2 to 5 years,CAMISA,22.0,22,65990.0,8.411136344520145e-05,White
991175,2,Moda,CAMISA,Blanco,Blanco 10-0000,2 to 5 years,CAMISA,43.0,43,65990.0,8.411136344520145e-05,White
